Sample,Type,ER status,Mutation Info
HCI001 P3,TNBC,ER-,
HCI001 P7,TNBC,ER-,
HCI002 P3,TNBC,ER-,
HCI002 P7,TNBC,ER-,
HCI003 P3,ER+,WT ER,
HCI003 P6,ER+,WT ER,
HCI004 P3,TNBC,ER-,
HCI005 P3,ER+,Mut ER,L536P
HCI006 P3,ER+,Mut ER,L536P
HCI007 P3,ER+,Mut ER,L536P
HCI008 P4,HER2+,ER-,
HCI009 P3,TNBC,ER-,
HCI009 P6,TNBC,ER-,
HCI010 P3,TNBC,ER-,
HCI011 P3,ER+,WT ER,
HCI012 P4,HER2+,ER-,
HCI013 P3,ER+,Mut ER,Y537S
HCI015 P3,TNBC,ER-,
HCI016 P2,TNBC,ER-,
HCI017 P2,ER+,WT ER,
HCI018 P2,ER+,WT ER,
HCI019 P2,TNBC,ER-,
